iterations,selection_type,sigma,sigma_delta,fitness_mean,best_fitness
30,1+1,0.0020000000000000013,0.0,1228892.1190044212,1228892.1190044216
30,1+1,0.0023421826965748993,0.01,1228792.8361258726,1228561.1760759247
30,1+1,0.012062894997183387,0.1,1225753.7763122038,1221046.2622738762
30,1+1,0.020000000000000007,0.0,1228892.1190044212,1228892.1190044216
30,1+1,0.023421826965748984,0.01,1228892.1190044212,1228892.1190044216
30,1+1,0.12062894997183385,0.1,1228892.1190044212,1228892.1190044216
30,1+1,0.20000000000000009,0.0,1228892.1190044212,1228892.1190044216
30,1+1,0.23421826965748987,0.01,1228892.1190044212,1228892.1190044216
30,1+1,1.2062894997183384,0.1,1228892.1190044212,1228892.1190044216
30,1+20,0.0020000000000000013,0.0,1224793.2754706598,1220196.614654508
30,1+20,0.001867377844160118,0.01,1220712.7990544301,1213483.1086015326
30,1+20,0.0010865628000967405,0.1,1225500.340482824,1222800.3481508209
30,1+20,0.020000000000000007,0.0,1227115.2101123533,1226353.6777300383
30,1+20,0.017526841525189123,0.01,1228892.1190044212,1228892.1190044216
30,1+20,0.0070224648393150835,0.1,1225472.4247697503,1221000.5169244097
30,1+20,0.20000000000000009,0.0,1188537.4142561173,1128005.3571336609
30,1+20,0.17526841525189119,0.01,1228892.1190044212,1228892.1190044216
30,1+20,0.070224648393150832,0.1,1226681.3196038632,1220601.6212523291
30,2+20,0.0020000000000000013,0.0,1225605.9325433464,1223489.5495155894
30,2+20,0.0017810438925629445,0.01,1224471.2602265894,1220650.9895653205
30,2+20,0.00098214569093311912,0.1,1226304.2982356062,1224964.4231227615
30,2+20,0.020000000000000007,0.0,1228892.1190044212,1228892.1190044216
30,2+20,0.017526841525189123,0.01,1227215.4081340341,1221701.7469030248
30,2+20,0.0070680561475200999,0.1,1211558.5750063744,1197248.5789333791
30,2+20,0.20000000000000009,0.0,1218575.3122600177,1190204.093712908
30,2+20,0.17526841525189119,0.01,1228892.1190044212,1228892.1190044216
30,2+20,0.070224648393150832,0.1,1228892.1190044212,1228892.1190044216
30,"1, 20",0.0020000000000000013,0.0,inf,inf
30,"1, 20",0.0017637860579589756,0.01,inf,inf
30,"1, 20",0.001544846203157826,0.1,inf,inf
30,"1, 20",0.020000000000000007,0.0,inf,inf
30,"1, 20",0.017526841525189123,0.01,inf,inf
30,"1, 20",0.0070224648393150835,0.1,inf,inf
30,"1, 20",0.20000000000000009,0.0,inf,inf
30,"1, 20",0.17526841525189119,0.01,inf,inf
30,"1, 20",0.070224648393150832,0.1,inf,inf
30,"2,20",0.0020000000000000013,0.0,inf,inf
30,"2,20",0.0018915687996396207,0.01,inf,inf
30,"2,20",0.001577923747772205,0.1,inf,inf
30,"2,20",0.020000000000000007,0.0,inf,inf
30,"2,20",0.017526841525189123,0.01,inf,inf
30,"2,20",0.0070224648393150835,0.1,inf,inf
30,"2,20",0.20000000000000009,0.0,inf,inf
30,"2,20",0.17526841525189119,0.01,inf,inf
30,"2,20",0.070224648393150832,0.1,inf,inf
